id_answer,foreign_question,text_answer,bool_correct
1,1,5,False
2,1,6,False
3,1,7,True
4,1,8,False
5,2,Лондон,False
6,2,Париж,True
7,2,Берлін,False
8,2,Рим,False
9,3,7,False
10,3,8,True
11,3,9,False
12,3,10,False
13,4,Еверест,True
14,4,Кіліманджаро,False
15,4,Монблан,False
16,4,Аконкагуа,False
17,5,Шевченко,True
18,5,Франко,False
19,5,Леся Українка,False
20,5,Куліш,False
21,6,Золото,False
22,6,Кисень,True
23,6,Азот,False
24,6,Срібло,False
25,7,3,False
26,7,4,False
27,7,5,True
28,7,6,False
29,8,Канада,False
30,8,Китай,False
31,8,Росія,True
32,8,США,False
33,9,Лос-Анджелес,False
34,9,Нью-Йорк,True
35,9,Чикаго,False
36,9,Бостон,False
37,10,Кук,False
38,10,Колумб,True
39,10,Магеллан,False
40,10,Вашингтон,False
41,11,Червоний,False
42,11,Синій,True
43,11,Жовтий,False
44,11,Зелений,False
45,12,6,False
46,12,8,True
47,12,10,False
48,12,12,False
49,13,Ньютон,False
50,13,Ейнштейн,True
51,13,Галілей,False
52,13,Тесла,False
53,14,Язик,True
54,14,Біцепс,False
55,14,Ікроножний м'яз,False
56,14,Серце,False
57,15,Печінка,False
58,15,Легені,False
59,15,Нирки,True
60,15,Шлунок,False
61,16,Слон,False
62,16,Кит,True
63,16,Жираф,False
64,16,Акула,False
65,17,Амазонка,False
66,17,Ніл,True
67,17,Янцзи,False
68,17,Дунай,False
69,18,28,False
70,18,30,False
71,18,32,True
72,18,34,False
73,19,Атлантичний,False
74,19,Тихий,True
75,19,Індійський,False
76,19,Північний Льодовитий,False
77,20,Франція,False
78,20,Італія,True
79,20,Іспанія,False
80,20,Греція,False
81,21,Кисень,False
82,21,Вуглекислий газ,False
83,21,Азот,True
84,21,Водень,False
85,22,Африка,False
86,22,Азія,True
87,22,Європа,False
88,22,Південна Америка,False
89,23,Горобець,False
90,23,Колібрі,True
91,23,Синиця,False
92,23,Соловей,False
93,24,Пікассо,False
94,24,Далі,False
95,24,Да Вінчі,True
96,24,Мікеланджело,False
97,25,Срібло,True
98,25,Мідь,False
99,25,Золото,False
100,25,Алюміній,False
101,26,Пиво,False
102,26,Сидр,False
103,26,Вино,True
104,26,Текіла,False
105,27,Голуб,False
106,27,Пінгвін,True
107,27,Горобець,False
108,27,Ластівка,False
109,28,Іспанська,False
110,28,Англійська,False
111,28,Китайська,True
112,28,Арабська,False
113,29,Венера,False
114,29,Марс,False
115,29,Меркурій,True
116,29,Юпітер,False
117,30,Німеччина,False
118,30,Бразилія,True
119,30,Аргентина,False
120,30,Італія,False
121,31,Темза,False
122,31,Сена,True
123,31,Рейн,False
124,31,Дунай,False
125,32,Нирки,False
126,32,Печінка,False
127,32,Підшлункова залоза,True
128,32,Селезінка,False
129,33,206,True
130,33,210,False
131,33,201,False
132,33,205,False
133,34,Тolkien,False
134,34,Rowling,True
135,34,Lewis,False
136,34,King,False
137,35,Гелій,False
138,35,Водень,True
139,35,Кисень,False
140,35,Літій,False
141,36,Марс,False
142,36,Юпітер,False
143,36,Сатурн,True
144,36,Уран,False
145,37,Осака,False
146,37,Кіото,False
147,37,Токіо,True
148,37,Хіросіма,False
149,38,Франція,False
150,38,Італія,False
151,38,Іспанія,True
152,38,Португалія,False
153,39,Зелений,True
154,39,Помаранчевий,False
155,39,Фіолетовий,False
156,39,Червоний,False
157,40,Атлантичний,False
158,40,Тихий,True
159,40,Індійський,False
160,40,Північний Льодовитий,False
161,41,Гомер,True
162,41,Вергілій,False
163,41,Софокл,False
164,41,Арістотель,False
165,42,Меркурій,False
166,42,Марс,True
167,42,Венера,False
168,42,Сатурн,False
169,43,Сосна,False
170,43,Сакура,True
171,43,Клен,False
172,43,Бамбук,False
173,44,Лев,False
174,44,Гепард,True
175,44,Кінь,False
176,44,Зебра,False
177,45,Джаз,True
178,45,Блюз,False
179,45,Рок,False
180,45,Поп,False
181,46,Індійський,False
182,46,Північний Льодовитий,True
183,46,Тихий,False
184,46,Атлантичний,False
185,47,Торонто,False
186,47,Оттава,True
187,47,Монреаль,False
188,47,Ванкувер,False
189,48,C++,False
190,48,Python,True
191,48,Java,False
192,48,JavaScript,False
193,49,Африка,True
194,49,Азія,False
195,49,Австралія,False
196,49,Південна Америка,False
